"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Body Item Label","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","4180034","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_256x128_8x4_tn_align1>(Params)","1","7","(256, 1, 1)","(40, 2, 11)","0","12.0","Instruction Statistics","","Instructions Executed","inst","125331886",
"0","4180034","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_256x128_8x4_tn_align1>(Params)","1","7","(256, 1, 1)","(40, 2, 11)","0","12.0","Instruction Statistics","","Local Memory Spilling Requests","byte","0",
"0","4180034","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_256x128_8x4_tn_align1>(Params)","1","7","(256, 1, 1)","(40, 2, 11)","0","12.0","Instruction Statistics","","Shared Memory Spilling Requests","byte","0",
"0","4180034","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_256x128_8x4_tn_align1>(Params)","1","7","(256, 1, 1)","(40, 2, 11)","0","12.0","Instruction Statistics","","Avg. Executed Instructions Per Scheduler","inst","167212.00",
"0","4180034","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_256x128_8x4_tn_align1>(Params)","1","7","(256, 1, 1)","(40, 2, 11)","0","12.0","Instruction Statistics","","Executed Instructions","inst","125743421",
"0","4180034","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_256x128_8x4_tn_align1>(Params)","1","7","(256, 1, 1)","(40, 2, 11)","0","12.0","Instruction Statistics","","Avg. Issued Instructions Per Scheduler","inst","167304.04",
"0","4180034","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_256x128_8x4_tn_align1>(Params)","1","7","(256, 1, 1)","(40, 2, 11)","0","12.0","Instruction Statistics","","Issued Instructions","inst","125812640",
"0","4180034","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_256x128_8x4_tn_align1>(Params)","1","7","(256, 1, 1)","(40, 2, 11)","0","12.0","Instruction Statistics","Executed Instruction Categories","Executed Instructions by SASS Opcode Category","","125331886 (106529600; 9109254; 5505038; 1257600; 1206960; 752608; 724400; 246426)",
"0","4180034","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_256x128_8x4_tn_align1>(Params)","1","7","(256, 1, 1)","(40, 2, 11)","0","12.0","Instruction Statistics","Executed Instruction Mix","Executed Warp-Level Instructions By Basic SASS Opcode","","125331886 (105369600; 5823000; 1956638; 1772800; 1387200; 954000; 709200; 575600; 563750; 563200; 563200; 563200; 526942; 442240; 346800; 342400; 283536; 277200; 235600; 233840; 186672; 179200; 154000; 134640; 124400; 120000; 113520; 111200; 110400; 106800; 102400; 96800; 44000; 35200; 29920; 22880; 20400; 20078; 18336; 18336; 16390; 13936; 12400; 8800; 7040; 6142; 4400; 4400; 4400; 4400; 4400; 4400; 550; 550; 550)",
"0","4180034","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_256x128_8x4_tn_align1>(Params)","1","7","(256, 1, 1)","(40, 2, 11)","0","12.0","Launch Statistics","","Block Size","","256",
