Generating SQLite file artifacts/h2b_p2/nsys_ucf101_r3d18.sqlite from artifacts/h2b_p2/nsys_ucf101_r3d18.nsys-rep
Processing [artifacts/h2b_p2/nsys_ucf101_r3d18.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_gpu_trace.py](nvtx-name)... 
Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
2768249872,65246,1330,,,,,,,,,,1.356,20778.623,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Server Edition (0),1,,7,[CUDA memcpy Host-to-Device]
2768498795,499414,1348,,,,,,,,,,5.497,11004.658,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Server Edition (0),1,,7,[CUDA memcpy Host-to-Device]
2860695541,416,1461,,,,,,,,,,0.001,2221.154,Device,,NVIDIA RTX PRO 6000 Blackwell Server Edition (0),1,,7,[CUDA memset]
2860725044,53695,1462,88,3,3,128,1,1,130,0.000,0.031,,,,,NVIDIA RTX PRO 6000 Blackwell Server Edition (0),1,,7,H2B_P2_PEDANTIC_SGEMM_ucf101_r3d18/void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(T1::Params)
2860982991,3652694,1473,,,,,,,,,,7.107,1940.274,Device,Pageable,NVIDIA RTX PRO 6000 Blackwell Server Edition (0),1,,7,[CUDA memcpy Device-to-Host]

Processing [artifacts/h2b_p2/nsys_ucf101_r3d18.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_api_trace.py]... 
Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
2160967699,7311,cuModuleGetLoadingMode,0,1,4178729,4178729,20,python
2232103023,614,cudaGetDeviceProperties_v12000,0,120,4178729,4178729,20,python
2232838742,783,cudaGetDeviceProperties_v12000,0,128,4178729,4178729,20,python
2566309686,4747,cuCtxSetCurrent,0,132,4178729,4178729,20,python
2566464015,2030,cuGetProcAddress_v2,0,133,4178729,4178729,20,python
2566466338,711,cuGetProcAddress_v2,0,134,4178729,4178729,20,python
2566467471,734,cuGetProcAddress_v2,0,135,4178729,4178729,20,python
2566468528,202,cuGetProcAddress_v2,0,136,4178729,4178729,20,python
2566468927,811,cuGetProcAddress_v2,0,137,4178729,4178729,20,python
2566470041,759,cuGetProcAddress_v2,0,138,4178729,4178729,20,python
2566471096,626,cuGetProcAddress_v2,0,139,4178729,4178729,20,python
2566471917,706,cuGetProcAddress_v2,0,140,4178729,4178729,20,python
2566472918,758,cuGetProcAddress_v2,0,141,4178729,4178729,20,python
2566474010,729,cuGetProcAddress_v2,0,142,4178729,4178729,20,python
2566474919,782,cuGetProcAddress_v2,0,143,4178729,4178729,20,python
2566475995,818,cuGetProcAddress_v2,0,144,4178729,4178729,20,python
2566477007,514,cuGetProcAddress_v2,0,145,4178729,4178729,20,python
2566477796,890,cuGetProcAddress_v2,0,146,4178729,4178729,20,python
2566478985,661,cuGetProcAddress_v2,0,147,4178729,4178729,20,python
2566479809,488,cuGetProcAddress_v2,0,148,4178729,4178729,20,python
2566480468,977,cuGetProcAddress_v2,0,149,4178729,4178729,20,python
2566481707,393,cuGetProcAddress_v2,0,150,4178729,4178729,20,python
2566482245,608,cuGetProcAddress_v2,0,151,4178729,4178729,20,python
2566483132,625,cuGetProcAddress_v2,0,152,4178729,4178729,20,python
2566483929,408,cuGetProcAddress_v2,0,153,4178729,4178729,20,python
2566484566,802,cuGetProcAddress_v2,0,154,4178729,4178729,20,python
2566485642,826,cuGetProcAddress_v2,0,155,4178729,4178729,20,python
2566486642,565,cuGetProcAddress_v2,0,156,4178729,4178729,20,python
2566487366,514,cuGetProcAddress_v2,0,157,4178729,4178729,20,python
2566488139,475,cuGetProcAddress_v2,0,158,4178729,4178729,20,python
2566488775,597,cuGetProcAddress_v2,0,159,4178729,4178729,20,python
2566489657,309,cuGetProcAddress_v2,0,160,4178729,4178729,20,python
2566490127,384,cuGetProcAddress_v2,0,161,4178729,4178729,20,python
2566490732,475,cuGetProcAddress_v2,0,162,4178729,4178729,20,python
2566491516,494,cuGetProcAddress_v2,0,163,4178729,4178729,20,python
2566492190,454,cuGetProcAddress_v2,0,164,4178729,4178729,20,python
2566492848,693,cuGetProcAddress_v2,0,165,4178729,4178729,20,python
2566493819,190,cuGetProcAddress_v2,0,166,4178729,4178729,20,python
2566494172,133,cuGetProcAddress_v2,0,167,4178729,4178729,20,python
2566494614,523,cuGetProcAddress_v2,0,168,4178729,4178729,20,python
2566495319,660,cuGetProcAddress_v2,0,169,4178729,4178729,20,python
2566496221,733,cuGetProcAddress_v2,0,170,4178729,4178729,20,python
2566497255,560,cuGetProcAddress_v2,0,171,4178729,4178729,20,python
2566498009,500,cuGetProcAddress_v2,0,172,4178729,4178729,20,python
2566498686,456,cuGetProcAddress_v2,0,173,4178729,4178729,20,python
2566499420,322,cuGetProcAddress_v2,0,174,4178729,4178729,20,python
2566499909,159,cuGetProcAddress_v2,0,175,4178729,4178729,20,python
2566500424,676,cuGetProcAddress_v2,0,176,4178729,4178729,20,python
2566501284,460,cuGetProcAddress_v2,0,177,4178729,4178729,20,python
2566501956,501,cuGetProcAddress_v2,0,178,4178729,4178729,20,python
2566502717,519,cuGetProcAddress_v2,0,179,4178729,4178729,20,python
2566503401,386,cuGetProcAddress_v2,0,180,4178729,4178729,20,python
2566503960,480,cuGetProcAddress_v2,0,181,4178729,4178729,20,python
2566504712,329,cuGetProcAddress_v2,0,182,4178729,4178729,20,python
2566505190,218,cuGetProcAddress_v2,0,183,4178729,4178729,20,python
2566505732,489,cuGetProcAddress_v2,0,184,4178729,4178729,20,python
2566506396,311,cuGetProcAddress_v2,0,185,4178729,4178729,20,python
2566506919,413,cuGetProcAddress_v2,0,186,4178729,4178729,20,python
2566507606,615,cuGetProcAddress_v2,0,187,4178729,4178729,20,python
2566508384,372,cuGetProcAddress_v2,0,188,4178729,4178729,20,python
2566508914,237,cuGetProcAddress_v2,0,189,4178729,4178729,20,python
2566509420,209,cuGetProcAddress_v2,0,190,4178729,4178729,20,python
2566509773,439,cuGetProcAddress_v2,0,191,4178729,4178729,20,python
2566510495,502,cuGetProcAddress_v2,0,192,4178729,4178729,20,python
2566511171,314,cuGetProcAddress_v2,0,193,4178729,4178729,20,python
2566511740,290,cuGetProcAddress_v2,0,194,4178729,4178729,20,python
2566512302,480,cuGetProcAddress_v2,0,195,4178729,4178729,20,python
2566512942,405,cuGetProcAddress_v2,0,196,4178729,4178729,20,python
2566513506,498,cuGetProcAddress_v2,0,197,4178729,4178729,20,python
2566514295,472,cuGetProcAddress_v2,0,198,4178729,4178729,20,python
2566514929,310,cuGetProcAddress_v2,0,199,4178729,4178729,20,python
2566515512,447,cuGetProcAddress_v2,0,200,4178729,4178729,20,python
2566516120,581,cuGetProcAddress_v2,0,201,4178729,4178729,20,python
2566516937,469,cuGetProcAddress_v2,0,202,4178729,4178729,20,python
2566517662,550,cuGetProcAddress_v2,0,203,4178729,4178729,20,python
2566518388,362,cuGetProcAddress_v2,0,204,4178729,4178729,20,python
2566518914,307,cuGetProcAddress_v2,0,205,4178729,4178729,20,python
2566519491,163,cuGetProcAddress_v2,0,206,4178729,4178729,20,python
2566519813,177,cuGetProcAddress_v2,0,207,4178729,4178729,20,python
2566520256,356,cuGetProcAddress_v2,0,208,4178729,4178729,20,python
2566520814,443,cuGetProcAddress_v2,0,209,4178729,4178729,20,python
2566521400,391,cuGetProcAddress_v2,0,210,4178729,4178729,20,python
2566522043,165,cuGetProcAddress_v2,0,211,4178729,4178729,20,python
2566522372,200,cuGetProcAddress_v2,0,212,4178729,4178729,20,python
2566522741,401,cuGetProcAddress_v2,0,213,4178729,4178729,20,python
2566523398,239,cuGetProcAddress_v2,0,214,4178729,4178729,20,python
2566523780,293,cuGetProcAddress_v2,0,215,4178729,4178729,20,python
2566524478,291,cuGetProcAddress_v2,0,216,4178729,4178729,20,python
2566524929,504,cuGetProcAddress_v2,0,217,4178729,4178729,20,python
2566525587,312,cuGetProcAddress_v2,0,218,4178729,4178729,20,python
2566526159,219,cuGetProcAddress_v2,0,219,4178729,4178729,20,python
2566526533,197,cuGetProcAddress_v2,0,220,4178729,4178729,20,python
2566526890,444,cuGetProcAddress_v2,0,221,4178729,4178729,20,python
2566527589,306,cuGetProcAddress_v2,0,222,4178729,4178729,20,python
2566528039,336,cuGetProcAddress_v2,0,223,4178729,4178729,20,python
2566528698,174,cuGetProcAddress_v2,0,224,4178729,4178729,20,python
2566529030,272,cuGetProcAddress_v2,0,225,4178729,4178729,20,python
2566529478,279,cuGetProcAddress_v2,0,226,4178729,4178729,20,python
2566530044,180,cuGetProcAddress_v2,0,227,4178729,4178729,20,python
2566530366,139,cuGetProcAddress_v2,0,228,4178729,4178729,20,python
2566530665,379,cuGetProcAddress_v2,0,229,4178729,4178729,20,python
2566531310,196,cuGetProcAddress_v2,0,230,4178729,4178729,20,python
2566531652,319,cuGetProcAddress_v2,0,231,4178729,4178729,20,python
2566532228,216,cuGetProcAddress_v2,0,232,4178729,4178729,20,python
2566532619,173,cuGetProcAddress_v2,0,233,4178729,4178729,20,python
2566533353,331,cuGetProcAddress_v2,0,234,4178729,4178729,20,python
2566534091,184,cuGetProcAddress_v2,0,235,4178729,4178729,20,python
2566534419,442,cuGetProcAddress_v2,0,236,4178729,4178729,20,python
2566535141,508,cuGetProcAddress_v2,0,237,4178729,4178729,20,python
2566535935,384,cuGetProcAddress_v2,0,238,4178729,4178729,20,python
2566536461,210,cuGetProcAddress_v2,0,239,4178729,4178729,20,python
2566536945,495,cuGetProcAddress_v2,0,240,4178729,4178729,20,python
2566537608,313,cuGetProcAddress_v2,0,241,4178729,4178729,20,python
2566538227,296,cuGetProcAddress_v2,0,242,4178729,4178729,20,python
2566538827,152,cuGetProcAddress_v2,0,243,4178729,4178729,20,python
2566539127,140,cuGetProcAddress_v2,0,244,4178729,4178729,20,python
2566539569,187,cuGetProcAddress_v2,0,245,4178729,4178729,20,python
2566540034,157,cuGetProcAddress_v2,0,246,4178729,4178729,20,python
2566540349,203,cuGetProcAddress_v2,0,247,4178729,4178729,20,python
2566540854,159,cuGetProcAddress_v2,0,248,4178729,4178729,20,python
2566541157,213,cuGetProcAddress_v2,0,249,4178729,4178729,20,python
2566541580,297,cuGetProcAddress_v2,0,250,4178729,4178729,20,python
2566542145,396,cuGetProcAddress_v2,0,251,4178729,4178729,20,python
2566542686,158,cuGetProcAddress_v2,0,252,4178729,4178729,20,python
2566542989,330,cuGetProcAddress_v2,0,253,4178729,4178729,20,python
2566543603,177,cuGetProcAddress_v2,0,254,4178729,4178729,20,python
2566543928,162,cuGetProcAddress_v2,0,255,4178729,4178729,20,python
2566544387,164,cuGetProcAddress_v2,0,256,4178729,4178729,20,python
2566544721,188,cuGetProcAddress_v2,0,257,4178729,4178729,20,python
2566545126,419,cuGetProcAddress_v2,0,258,4178729,4178729,20,python
