"Kernel Name","void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_tn_align1>(T1::Params)",
"Address","Source","Instructions Executed"
"0x7fb6d3768500","      LDC R1, c[0x0][0x37c]","7040"
"0x7fb6d3768510","      S2UR UR6, SR_CTAID.Y","7040"
"0x7fb6d3768520","      LDCU UR8, c[0x0][0x398]","7040"
"0x7fb6d3768530","      UMOV UR5, 0xffffffff","7040"
"0x7fb6d3768540","      S2UR UR4, SR_CTAID.X","7040"
"0x7fb6d3768550","      LDC R2, c[0x0][0x390]","7040"
"0x7fb6d3768560","      USHF.L.U32 UR5, UR5, UR8, URZ","7040"
"0x7fb6d3768570","      LDC R0, c[0x0][0x38c]","7040"
"0x7fb6d3768580","      USHF.L.U32 UR6, UR6, UR8, URZ","7040"
"0x7fb6d3768590","      ULOP3.LUT UR5, UR4, UR5, URZ, 0x30, !UPT","7040"
"0x7fb6d37685a0","      USHF.R.U32.HI UR8, URZ, UR8, UR4","7040"
"0x7fb6d37685b0","      UIADD3 UR9, UPT, UPT, UR6, UR5, URZ","7040"
"0x7fb6d37685c0","      ISETP.LE.AND P0, PT, R2, UR9, PT","7040"
"0x7fb6d37685d0","      ISETP.LE.OR P0, PT, R0, UR8, P0","7040"
"0x7fb6d37685e0","@P0   EXIT","7040"
"0x7fb6d37685f0","      LDC R0, c[0x0][0x39c]","4400"
"0x7fb6d3768600","      LDCU UR5, c[0x0][0x388]","4400"
"0x7fb6d3768610","      LDC.64 R26, c[0x0][0x498]","4400"
"0x7fb6d3768620","      LDC.64 R24, c[0x0][0x4a0]","4400"
"0x7fb6d3768630","      S2UR UR4, SR_CTAID.Z","4400"
"0x7fb6d3768640","      MOV R3, UR5","4400"
"0x7fb6d3768650","      ISETP.GT.U32.AND P0, PT, R0, 0x1, PT","4400"
"0x7fb6d3768660","      MOV R131, UR4","4400"
"0x7fb6d3768670","@P0   BRA 0x7fb6d3768700","4400"
"0x7fb6d3768680","      LDC R0, c[0x0][0x394]","4400"
"0x7fb6d3768690","      IADD3 R3, PT, PT, R131, 0x1, RZ","4400"
"0x7fb6d37686a0","      LDC R8, c[0x0][0x3a4]","4400"
"0x7fb6d37686b0","      ISETP.GE.AND P0, PT, R3, R0, PT","4400"
"0x7fb6d37686c0","      IMAD R3, R131, R8, R8","4400"
"0x7fb6d37686d0","      IMAD R8, R131, R8, RZ","4400"
"0x7fb6d37686e0","@P0   LDC R3, c[0x0][0x388]","4400"
"0x7fb6d37686f0","      BRA 0x7fb6d3768880","4400"
"0x7fb6d3768700","      ISETP.NE.AND P0, PT, R0, 0x3, PT","0"
"0x7fb6d3768710","      HFMA2 R8, -RZ, RZ, 0, 0","0"
"0x7fb6d3768720","@!P0  BRA 0x7fb6d3768820","0"
"0x7fb6d3768730","      ISETP.NE.AND P0, PT, R0, 0x2, PT","0"
"0x7fb6d3768740","@P0   BRA 0x7fb6d3768880","0"
"0x7fb6d3768750","      LDC.64 R6, c[0x0][0x4b8]","0"
"0x7fb6d3768760","      LDC.64 R4, c[0x0][0x4c0]","0"
"0x7fb6d3768770","      LDC.64 R26, c[0x0][0x498]","0"
"0x7fb6d3768780","      LDC.64 R24, c[0x0][0x4a0]","0"
"0x7fb6d3768790","      IMAD.WIDE.U32 R10, R131, R6, RZ","0"
"0x7fb6d37687a0","      IMAD R0, R131, R7, R11","0"
"0x7fb6d37687b0","      IMAD.WIDE.U32 R12, R131, R4, RZ","0"
"0x7fb6d37687c0","      IMAD R2, R131, R5, R13","0"
"0x7fb6d37687d0","      LEA R26, P1, R10, R26, 0x2","0"
"0x7fb6d37687e0","      LEA.HI.X R27, R10, R27, R0, 0x2, P1","0"
"0x7fb6d37687f0","      LEA R24, P0, R12, R24, 0x2","0"
"0x7fb6d3768800","      LEA.HI.X R25, R12, R25, R2, 0x2, P0","0"
"0x7fb6d3768810","      BRA 0x7fb6d3768880","0"
"0x7fb6d3768820","      LDC.64 R26, c[0x0][0x498]","0"
"0x7fb6d3768830","      LDC.64 R24, c[0x0][0x4a0]","0"
"0x7fb6d3768840","      IMAD.WIDE.U32 R26, R131, 0x8, R26","0"
"0x7fb6d3768850","      LDG.E.64 R26, [R26]","0"
"0x7fb6d3768860","      IMAD.WIDE.U32 R24, R131, 0x8, R24","0"
"0x7fb6d3768870","      LDG.E.64 R24, [R24]","0"
"0x7fb6d3768880","      S2R R184, SR_TID.X","4400"
"0x7fb6d3768890","      IADD3 R2, PT, PT, -R8, R3, RZ","4400"
"0x7fb6d37688a0","      LDCU.64 UR4, c[0x0][0x3b8]","4400"
"0x7fb6d37688b0","      MOV R4, 0x400","4400"
"0x7fb6d37688c0","      S2R R193, SR_CgaCtaId","4400"
"0x7fb6d37688d0","      HFMA2 R128, -RZ, RZ, 0, 0","4400"
"0x7fb6d37688e0","      SHF.R.S32.HI R5, RZ, 0x1f, R2","4400"
"0x7fb6d37688f0","      USHF.L.U32 UR8, UR8, 0x7, URZ","4400"
"0x7fb6d3768900","      LDCU.64 UR6, c[0x0][0x380]","4400"
"0x7fb6d3768910","      CS2R R94, SRZ","4400"
"0x7fb6d3768920","      LEA.HI R5, R5, R2, RZ, 0x3","4400"
"0x7fb6d3768930","      CS2R R98, SRZ","4400"
"0x7fb6d3768940","      LDCU.64 UR12, c[0x0][0x3e0]","4400"
"0x7fb6d3768950","      CS2R R100, SRZ","4400"
"0x7fb6d3768960","      LOP3.LUT R5, R5, 0xfffffff8, RZ, 0xc0, !PT","4400"
"0x7fb6d3768970","      CS2R R92, SRZ","4400"
"0x7fb6d3768980","      LDCU.64 UR14, c[0x0][0x3d0]","4400"
"0x7fb6d3768990","      CS2R R96, SRZ","4400"
"0x7fb6d37689a0","      CS2R R40, SRZ","4400"
"0x7fb6d37689b0","      IADD3 R18, PT, PT, R2, -R5, RZ","4400"
"0x7fb6d37689c0","      LDCU.64 UR10, c[0x0][0x3e8]","4400"
"0x7fb6d37689d0","      CS2R R90, SRZ","4400"
"0x7fb6d37689e0","      CS2R R102, SRZ","4400"
"0x7fb6d37689f0","      CS2R R104, SRZ","4400"
"0x7fb6d3768a00","      ISETP.NE.AND P0, PT, R18, RZ, PT","4400"
"0x7fb6d3768a10","      LDCU.64 UR16, c[0x0][0x3f0]","4400"
"0x7fb6d3768a20","      CS2R R88, SRZ","4400"
"0x7fb6d3768a30","      CS2R R42, SRZ","4400"
"0x7fb6d3768a40","      CS2R R44, SRZ","4400"
"0x7fb6d3768a50","      SEL R18, R18, 0x8, P0","4400"
"0x7fb6d3768a60","      CS2R R86, SRZ","4400"
"0x7fb6d3768a70","      CS2R R106, SRZ","4400"
"0x7fb6d3768a80","      LOP3.LUT R29, R184, 0x7, RZ, 0xc0, !PT","4400"
"0x7fb6d3768a90","      IMAD.SHL.U32 R156, R184, 0x200, RZ","4400"
"0x7fb6d3768aa0","      SHF.R.U32.HI R0, RZ, 0x3, R184","4400"
"0x7fb6d3768ab0","      CS2R R108, SRZ","4400"
"0x7fb6d3768ac0","      LEA R193, R193, R4, 0x18","4400"
"0x7fb6d3768ad0","      CS2R R84, SRZ","4400"
"0x7fb6d3768ae0","      IADD3 R28, PT, PT, R29, R8, RZ","4400"
"0x7fb6d3768af0","      LOP3.LUT R17, R0, UR8, RZ, 0xfc, !PT","4400"
"0x7fb6d3768b00","      IMAD.SHL.U32 R19, R0, 0x4, RZ","4400"
"0x7fb6d3768b10","      IADD3 R8, PT, PT, R18, R8, RZ","4400"
"0x7fb6d3768b20","      IADD3 R4, PT, PT, R2, 0xe, RZ","4400"
"0x7fb6d3768b30","      SHF.R.S32.HI R29, RZ, 0x1f, R28","4400"
"0x7fb6d3768b40","      UIADD3.64 UR16, UPT, UPT, UR10, -UR16, URZ","4400"
"0x7fb6d3768b50","      IADD3 R16, PT, PT, R17, 0x20, RZ","4400"
"0x7fb6d3768b60","      VIMNMX.S32 R3, R8, R3, PT","4400"
"0x7fb6d3768b70","      ISETP.GE.U32.AND P5, PT, R4, 0xf, PT","4400"
"0x7fb6d3768b80","      IMAD.WIDE.U32 R30, R17, UR4, R28","4400"
"0x7fb6d3768b90","      USHF.L.U32 UR4, UR9, 0x8, URZ","4400"
"0x7fb6d3768ba0","      IADD3 R15, PT, PT, R17, 0x40, RZ","4400"
"0x7fb6d3768bb0","      ISETP.GE.AND P4, PT, R28, R3, PT","4400"
"0x7fb6d3768bc0","      IADD3 R14, PT, PT, R17, 0x60, RZ","4400"
"0x7fb6d3768bd0","      IMAD R4, R17, UR5, R31","4400"
"0x7fb6d3768be0","      LDCU.64 UR8, c[0x0][0x3c0]","4400"
"0x7fb6d3768bf0","      LOP3.LUT R13, R0, UR4, RZ, 0xfc, !PT","4400"
"0x7fb6d3768c00","      IMAD.SHL.U32 R22, R30, 0x4, RZ","4400"
"0x7fb6d3768c10","      ISETP.LT.AND P0, PT, R17, UR6, !P4","4400"
"0x7fb6d3768c20","      ISETP.LT.AND P1, PT, R16, UR6, !P4","4400"
"0x7fb6d3768c30","      ISETP.LT.AND P2, PT, R15, UR6, !P4","4400"
"0x7fb6d3768c40","      LDCU.64 UR4, c[0x0][0x3d8]","4400"
"0x7fb6d3768c50","      ISETP.LT.AND P3, PT, R14, UR6, !P4","4400"
"0x7fb6d3768c60","      IADD3 R12, PT, PT, R13, 0x20, RZ","4400"
"0x7fb6d3768c70","      IADD3 R11, PT, PT, R13, 0x40, RZ","4400"
"0x7fb6d3768c80","      IADD3 R10, PT, PT, R13, 0x60, RZ","4400"
"0x7fb6d3768c90","      LOP3.LUT R9, R13, 0x80, RZ, 0xfc, !PT","4400"
"0x7fb6d3768ca0","      CS2R R46, SRZ","4400"
"0x7fb6d3768cb0","      P2R R3, PR, RZ, 0xf","4400"
"0x7fb6d3768cc0","      CS2R R48, SRZ","4400"
"0x7fb6d3768cd0","      ISETP.LT.AND P0, PT, R13, UR7, !P4","4400"
"0x7fb6d3768ce0","      ISETP.LT.AND P1, PT, R12, UR7, !P4","4400"
"0x7fb6d3768cf0","      ISETP.LT.AND P2, PT, R11, UR7, !P4","4400"
"0x7fb6d3768d00","      ISETP.LT.AND P3, PT, R10, UR7, !P4","4400"
"0x7fb6d3768d10","      IADD3 R8, PT, PT, R13, 0xa0, RZ","4400"
"0x7fb6d3768d20","      IADD3 R7, PT, PT, R13, 0xc0, RZ","4400"
"0x7fb6d3768d30","      IADD3 R6, PT, PT, R13, 0xe0, RZ","4400"
"0x7fb6d3768d40","      SHF.R.S32.HI R20, RZ, 0x1f, R13","4400"
"0x7fb6d3768d50","      CS2R R82, SRZ","4400"
"0x7fb6d3768d60","      P2R R5, PR, RZ, 0xf","4400"
"0x7fb6d3768d70","      IMAD.WIDE.U32 R28, R13, UR4, R28","4400"
"0x7fb6d3768d80","      ISETP.LT.AND P0, PT, R9, UR7, !P4","4400"
"0x7fb6d3768d90","      ISETP.LT.AND P1, PT, R8, UR7, !P4","4400"
"0x7fb6d3768da0","      ISETP.LT.AND P2, PT, R7, UR7, !P4","4400"
"0x7fb6d3768db0","      ISETP.LT.AND P3, PT, R6, UR7, !P4","4400"
"0x7fb6d3768dc0","      SEL R3, R3, RZ, P5","4400"
"0x7fb6d3768dd0","      SHF.L.U64.HI R23, R30, 0x2, R4","4400"
"0x7fb6d3768de0","      IMAD R20, R20, UR4, RZ","4400"
"0x7fb6d3768df0","      SHF.R.U32.HI R191, RZ, 0x5, R184","4400"
"0x7fb6d3768e00","      CS2R R110, SRZ","4400"
"0x7fb6d3768e10","      P2R.B1 R4, PR, R5, 0xf","4400"
"0x7fb6d3768e20","      IADD.64 R30, R22, R26","4400"
"0x7fb6d3768e30","      IADD.64 R22, R22, UR8","4400"
"0x7fb6d3768e40","      IADD.64 R32, R30, UR8","4400"
"0x7fb6d3768e50","      SEL R4, R4, RZ, P5","4400"
"0x7fb6d3768e60","      R2P PR, R3, 0xf","4400"
"0x7fb6d3768e70","      IMAD R3, R13, UR5, R20","4400"
"0x7fb6d3768e80","      LOP3.LUT R20, R19, 0xe00, R156, 0xf8, !PT","4400"
"0x7fb6d3768e90","      IADD.64 R38, R32, UR8","4400"
"0x7fb6d3768ea0","      LDCU.64 UR4, c[0x0][0x3c8]","4400"
"0x7fb6d3768eb0","      IADD3 R3, PT, PT, R29, R3, RZ","4400"
"0x7fb6d3768ec0","      IADD3 R5, PT, PT, R193, R20, RZ","4400"
"0x7fb6d3768ed0","      BAR.SYNC.DEFER_BLOCKING 0x0","4400"
"0x7fb6d3768ee0","      IMAD.SHL.U32 R20, R28, 0x4, RZ","4400"
